from,to,flag
6647,23011,1
6647,1933,1
6647,373156,1
6647,5683,1
6647,204,1
6647,5721,1
6647,16,1
6647,51637,1
6647,5687,1
6647,7532,1
6647,525,1
6647,6301,1
6647,5660,1
6647,5589,1
6647,4172,1
6647,10549,1
6647,23760,1
6647,118460,1
6647,5464,1
6647,3837,1
6647,84823,1
6647,5708,1
6647,2547,1
6647,3029,1
6647,523,1
6647,60496,1
6647,23193,1
6647,1965,1
6647,3799,1
6647,8880,1
6647,8668,1
6647,1994,1
6647,8667,1
6647,7520,1
6647,2237,1
6647,50,1
6647,5705,1
6647,11047,1
6647,6741,1
6647,11184,1
6647,3308,1
6647,5717,1
6647,5700,1
6647,3646,1
6647,81,1
6647,8607,1
6647,4522,1
6647,5630,1
6647,1674,1
6647,79869,1
6647,1615,1
6647,3615,1
6647,8539,1
6647,8664,1
6647,7175,1
6647,8761,1
6647,9601,1
6647,4000,1
6647,8661,1
6647,10131,1
6647,4174,1
6647,2058,1
6647,54888,1
6647,9688,1
6647,4175,1
6647,10015,1
6647,22820,1
6647,4171,1
6647,27044,1
6647,57805,1
6647,476,1
6647,8943,1
6647,51520,1
6647,1314,1
6647,10514,1
6647,8826,1
6647,4629,1
6647,10075,1
6647,388697,1
7416,117159,1
7416,23234,1
7416,26097,1
7416,5495,1
7416,2547,1
7416,10627,1
7416,7295,1
7416,56993,1
7416,128866,1
7416,291,1
7416,7168,1
7416,54927,1
7416,94081,1
7416,4698,1
7416,7385,1
7416,292,1
7416,1347,1
7416,8815,1
7416,7419,1
7416,5494,1
7416,5478,1
7416,7417,1
7416,8971,1
7416,55681,1
7416,375,1
7416,10857,1
7416,10284,1
7416,25873,1
7416,4001,1
7416,10476,1
7416,2079,1
